date,open,high,low,close,volume,stock_name,ticker
04/29/2025,1.71,1.88,1.88,1.88,939.63K,Abctrans,ABCTRANS
04/28/2025,1.56,1.71,1.71,1.71,317.35K,Abctrans,ABCTRANS
04/25/2025,1.56,1.56,1.56,1.56,265.34K,Abctrans,ABCTRANS
04/24/2025,1.56,1.56,1.56,1.56,181.14K,Abctrans,ABCTRANS
04/23/2025,1.42,1.56,1.56,1.56,513.16K,Abctrans,ABCTRANS
04/22/2025,1.42,1.42,1.42,1.42,260.03K,Abctrans,ABCTRANS
04/17/2025,1.3,1.42,1.42,1.42,305.66K,Abctrans,ABCTRANS
04/16/2025,1.3,1.3,1.3,1.3,250.45K,Abctrans,ABCTRANS
04/15/2025,1.3,1.3,1.3,1.3,692.49K,Abctrans,ABCTRANS
04/14/2025,1.26,1.3,1.26,1.3,1.72M,Abctrans,ABCTRANS
04/11/2025,1.26,1.26,1.26,1.26,210.78K,Abctrans,ABCTRANS
04/10/2025,1.4,1.4,1.26,1.26,1.48M,Abctrans,ABCTRANS
04/09/2025,1.4,1.4,1.4,1.4,50.76K,Abctrans,ABCTRANS
04/08/2025,1.4,1.4,1.4,1.4,105.55K,Abctrans,ABCTRANS
04/07/2025,1.4,1.4,1.4,1.4,111.14K,Abctrans,ABCTRANS
04/04/2025,1.4,1.4,1.4,1.4,128.83K,Abctrans,ABCTRANS
04/03/2025,1.4,1.4,1.4,1.4,54.45K,Abctrans,ABCTRANS
04/02/2025,1.38,1.4,1.4,1.4,867.08K,Abctrans,ABCTRANS
03/28/2025,1.38,1.38,1.38,1.38,389.26K,Abctrans,ABCTRANS
03/27/2025,1.38,1.38,1.38,1.38,145.88K,Abctrans,ABCTRANS
03/26/2025,1.53,1.38,1.38,1.38,286.71K,Abctrans,ABCTRANS
03/25/2025,1.53,1.53,1.53,1.53,113.53K,Abctrans,ABCTRANS
03/24/2025,1.53,1.53,1.53,1.53,174.78K,Abctrans,ABCTRANS
03/21/2025,1.5,1.53,1.37,1.53,774.66K,Abctrans,ABCTRANS
03/20/2025,1.5,1.5,1.5,1.5,142.86K,Abctrans,ABCTRANS
03/19/2025,1.5,1.5,1.5,1.5,240.31K,Abctrans,ABCTRANS
